"У моего мужа очень странное отношение к праздникам. Точнее, к поздравлениям. Любит поздравлять в конце дня рождения, почти в полночь, потому что якобы человек уже отчаялся ждать, и тут — поздравление! Никогда не подарит первым подарок, особенно с утра — ни-ни. Обязательно тоже ближе к концу. Иногда не дарит подарки, чтобы у именинника была интрига, достанется ли подарок в этот раз. Сука, как же бесит!   "
"Я всегда все выключаю из розеток. После того, как у наших соседей по даче сгорел дом, я стала еще больше следить за этим. Но мой отец постоянно оставляет все включенным, особенная борьба идет с пылесосом. Ибо я всегда вытаскиваю шнур из розетки, а отец на меня из-за этого потом яростно орет, мол, так удобнее вообще-то. А на все мои слова о пожарной безопасности просто машет рукой и говорит: «Да это все понятно, только так удобнее, так что прекрати так делать».   "
"Бесит, когда человеку что-то от тебя нужно, и он начинает с: ""Привет! Как дела?"" Так и хочется всё это оборвать и в лоб спросить: ""Что нужно?"" Пусть лучше сразу говорят, что им нужно, либо вообще не спрашивают у меня.   "
"Бесят родственники, которые во время застолья, обожравшись и напившись, идут в другую комнату поспать часик-два. Потом с новыми силами возвращаются за стол и продолжают до полуночи. Пожрал, напился или устал? Иди домой!   "
"Работаю дизайнером. Меня всегда удивляло, что многие клиенты вообще не считают за работу наш труд. Ну ты ж рисуешь, чего тебе стоит! Тебе ж в удовольствие должно быть! Или нормально объяснить не могут, что хотят, а потом 1000 правок. Это такая же работа, как и любая другая, мне тоже нужно кушать! Думаете, что мы сидим, наслаждаемся, попивая кофеек, а о проблемах со спиной, красными глазами, ухудшением зрения, нарушением кровообращения мало кто догадывается.   "
"Работаю фотографом. Бесят клиенты, которые наяривают на следующий же день после съемки: «Ну что, ну когда фоточки? Мы так ждём!» Стараешься, готовишь и выгружаешь фото раньше оговорённого срока, а они мало того что не отвечают сразу, они ещё через время: «Ой, а загрузи ещё раз, мы не успели скачать». Притом что хранятся на файлообменнике они неделю! Ну и какого надо было торопить? Как же бесят!   "
"Как же меня неистово бесят люди, которые не знают слов песни или знают частично, но, сука, подпевают в полный голос, подвывают или начало слова произносят, а окончание заглатывают. Лучше петь про себя, если не знаешь! А так песню не слышно, это ""пение"" раздражает, и ничего вообще слушать не хочется. "
"Бесят гости, которые, уходя, хотят помыть за собой кружку с тарелкой. И даже не потому, что мне неловко, я ж хозяйка и всё такое. А потому что, сука, они делают это побыстрее и на отъебись, не пользуясь ни губкой, ни жидкостью для мытья посуды. Рукой пройдутся, водичкой ополоснут и ставят в шкаф. Да нахер мне такое мытьё надо? Бациллы свои только размазывают. А мне потом стой и перемывай все заново. Бесят!   "
"Сделала себе кучу бутербродов к просмотру фильма. Перед этим спросила у брата: ""На тебя делать?"" Ответ отрицательный. И вот сижу я с горой бутербродов, предвкушая, что сейчас обожрусь, как свинья. И тихий голос: ""О, а поделись бутерами"". Да твою дивизию! Я делала это только для СЕБЯ, я хочу это сожрать одна, я уже настроилась, я же спросила у тебя! Зачем так делать?! БЕСИТ!   "
"Отдыхаю на море. Каждый раз, когда вижу кого-нибудь, кто что-либо фотографирует, стараюсь побыстрее отойти в сторону и не портить фотографию. Но когда я пытаюсь сделать хороший кадр, у меня создаётся ощущение, что все против меня - абсолютно каждый должен посмотреть на меня и начать медленно идти. Ну что за люди…   "
"Я что-то вроде художника. Рисую специфические картинки, например, постапокалипсис, смерть, хентай и прочее. Иногда люди наблюдают за моими рисунками. И как же бесит, когда они что-то говорят про них! На этапе эскиза: ""Ой, а чё он кривой такой? Че, в школу не ходила?"" Или когда персонаж с сигаретой или с бутылкой: ""А чё, ты ж не куришь, наклонности есть, да?"" Про всякие откровенные вообще молчу! Однажды у меня пытались порвать работу по причине ""негоже голых баб рисовать"". Бесит!   "
"Живу в многоэтажке, наш двор убирает дворник. Пошел утром по делам, смотрю — одна женщина из балкона мусор выкидывает. Я ей крикнул, сказал, чтобы убрала, она кивнула и ушла. Возвращаюсь через часа четыре, смотрю, а эта же тетка из окна орёт на дворника, который якобы ""не убирает мусор"". Я понял, что спорить с ней бесполезно; повезло, что она жила не так высоко, и я взял ее же пакет с мусором, разорвал и закинул ей на балкон.  Бесят такие, которые сами засирают, а потом жалуются.   "
"Ненавижу шансон. Вот прям не перевариваю. И по иронии судьбы мой начальник — ярый поклонник такой музыки, которая, естественно, постоянно играет у нас в кабинете с его колонок. Не понимаю, почему люди пишут такую музыку? Они поют про любовь зека, просто про зеков, про то, как они хотят домой, про то, какие они бедолаги. Да твою же мать! Человек совершил преступление, ограбил кого-то, убил или ещё что-то, его наказали, а вы ещё и поощряете его за это? Бесит!   "
"К 30 годам у всех укореняются свои тараканы, а если появляются новые, то какие-нибудь редкие и специфические. Вот и я обнаружила к 30, что меня жутко бесит и всю жизнь бесил календарь. Не знаю, какой умник придумал, что в неделе должно быть именно семь гребаных дней, которые никак не делятся пополам и криво размещаются в ежедневнике. А какого хрена в одном месяце 30 дней, в другом 31, а в одном вообще нахуй 28 и раз в 4 года 29. И всё это ещё чередуется не прямо последовательно через один, а как-то по костяшкам пальцев! Отсюда, конечно, понедельники не совпадают с первыми числами месяца, воскресенья не закрывают месяц/год, дни пляшут как попало. Блядский хаос!   "
"Каждый год мы с друзьями (две пары) ездим отдыхать на Байкал. Так как денег немного, снимаем один домик на четверых. И, сука, второй год подряд они пытаются заняться сексом у нас на глазах, когда думают, что мы спим. В первый год я стерпела, просто вышла из домика, и потом как-то замялся разговор. Но в этом году моего терпения не хватило, я встала и высказала все, что думаю по этому поводу. Теперь в глазах друзей я истеричка и ханжа. А мне просто неприятно слышать их охи-вздохи.   "
"Бесит, когда делаешь что-то случайно, и тебя спрашивают: ""Зачем?"" В смысле, блин, зачем? Зачем - это вопрос, подразумевающий осознанную цель! Я потеряла кошелек. Зачем? Нарочно, чтобы ничего не купить! Уронила молоток на ногу. Зачем? Разумеется, хотела сломать ногу! Что за дурацкий вопрос-то, а?!   "
"Как же меня бесит, когда парень знакомится в соцсети и после ""привет"" сразу пишет ""пошлая?"". Его в первую очередь интересует не возраст, не город, в котором я живу, а, сука, пошлая ли я. Да какая тебе разница?! Лучше бы спросил, как дела. Ещё раз кто-нибудь так напишет, и я сорвусь. Всё, блять, выскажу!   "
"Каждый раз, когда я слышу про ""выйти из зоны комфорта"", хочется ударить человека учебником по психологии. Никак не могу понять, зачем издеваться над собой и создавать стрессовые ситуации. Застенчивому человеку не обязательно идти и приставать к незнакомцам. Если хочется похудеть, не обязательно месить кроссовками грязь в 5 утра. Развитие человека может и должно происходить с удовольствием и в комфортном темпе. Бесят экстраверты без тормозов, у которых всё просто и сразу.   "
"Я долбанный цветок — комнатное растение. Нет ни одного здорового органа, везде что-то не так. Я не инвалид и, вроде, ничего серьезного (спасибо за это), но: «Просто хроническое», — как говорят врачи. Бесит, что не болею я только сидя дома в тёплую погоду, а так: чуть подул ветер, пообщалась с больным (или просто стояла рядом), вышла на работу/учебу — привет, болезнь на месяц!   "
"Уже два года живу в 17-этажном доме, и у нас постоянно на верхних этажах мусорят и рисуют на стенах подростки. Мне 18 лет, но выгляжу на 15-16. И каждый раз, когда я вместе с подругой подхожу к лифту/подъезду/забираю почту, меня пытаются вывести из дома. Один раз пришлось даже при женщине открывать дверь квартиры, чтобы та поняла, что я тут живу. Бесит!   "
"Живу в квартире с подружками по университету. Каждая живет в отдельной комнате. Недавно у одной подруги появился парень, и он буквально поселился у нас! Утро начинается с него, весь день он у нас, спит тоже у нас. Он абсолютно нормальный, но меня бесит, что теперь я не могу спокойно ходить, в чем хочу, есть, когда захочу. Везде он. Говорить пробовала, подруга обижается. Так и живем: они долго и счастливо, а я почти не выхожу из своей комнаты.   "
"Мое хобби — онлайн-игры, и я искренне не понимаю упреков. Время теряю бездарно, деградирую, закрылась от мира. Ау! Это такое же хобби, как и вышивание, игра на гитаре, пение, рисование и многое другое. Я же не говорю, что вы деградируете, когда поете или танцуете. Бесят ярлыки.   "
"Работаю удаленно, и как же раздражает начальство, которое без конца требует приехать. Самое непонятное и неприятное заключается в том, что я на дорогу трачу 3 часа, а на вопросы отвечаю 20 минут. Мы живем в 21 веке, связь на любой вкус, но нет, приедь и отчитайся.   "
"Я закончила медицинский университет, но моя специальность не связана с лечением людей. Да, я изучала лечебные дисциплины, но они не являются для меня профильными. Но каждый мой знакомый считает своим долгом рассказать мне о своих болячках и спросить лечение. Надоело слушать про чужие проблемы со здоровьем.   "
"Бесит, когда люди разговаривают по телефону в общественных туалетах. Мало того, что они не уважают ни себя, ни собеседника, справляя нужду в процессе беседы, так ещё и ущемляют личное пространство окружающих.   "
"Уже вторая коллега по работе пытается ""прикрываться"" мной, когда хотят укатить с любовником. Вот достали! ""Ну они увидят, что мы с тобой уехали, ты ж ничего не скажешь?"", или ""если скажешь, что я была с тобой, то никто ничего не подумает"". Я, блин, эталон честности и справедливости что ли? Мне пох на то, кто с кем спит, если это прямо или косвенно не касается меня и моей семьи. Но пипец как бесит.   "
"Устал слышать от девушек, что я что-то им должен. Никогда не обещаю золотых гор или продолжительных отношений, все соглашаются и изначально знают, на что идут. Окружаю любовью, заботой, делюсь интересами, не повышаю голос и в целом отношусь очень хорошо, но нет, в итоге всем этого мало и нужно демонстрировать свою любовь поступками, что-то постоянно дарить, ежесекундно твердить о возвышенном чувстве. Словно крышу дамам сносит и из идеальных превращаются в кровососущих требовальщиц.   "
